Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2025-09-22,112748.5078125,115431.3125,112037.6484375,115309.21875,70684158591
2025-09-23,112014.5,113351.9140625,111535.5703125,112757.4765625,47211853279
2025-09-24,113328.6328125,113986.2734375,111229.640625,112007.6640625,48044595085
2025-09-25,109049.2890625,113541.0859375,108713.3984375,113330.1640625,75528654284
2025-09-26,109712.828125,110359.1953125,108728.9765625,109041.296875,57738288949
2025-09-27,109681.9453125,109778.5,109144.296875,109707.140625,26308042910
2025-09-28,112122.640625,112375.484375,109236.9453125,109681.9453125,33371048505
2025-09-29,114400.3828125,114473.5703125,111589.953125,112117.875,60000147466
2025-09-30,114056.0859375,114836.6171875,112740.5625,114396.5234375,58986330258
2025-10-01,118648.9296875,118648.9296875,113981.3984375,114057.59375,71328680132
2025-10-02,120681.2578125,121086.40625,118383.15625,118652.3828125,71415163912
2025-10-03,122266.53125,123944.703125,119344.3125,120656.984375,83941392228
2025-10-04,122425.4296875,122857.640625,121577.5703125,122267.46875,36769171735
2025-10-05,123513.4765625,125559.2109375,122191.9609375,122419.671875,73689317763
2025-10-06,124752.53125,126198.0703125,123196.046875,123510.453125,72568881188
2025-10-07,121451.3828125,125184.0234375,120681.96875,124752.140625,76149412513
2025-10-08,123354.8671875,124167.09375,121119.1796875,121448.3515625,65354305286
2025-10-09,121705.5859375,123739.34375,119812.03125,123337.0703125,74653009425
2025-10-10,113214.3671875,122509.6640625,104582.4140625,121704.7421875,153125018868
2025-10-11,110807.8828125,113429.7265625,109760.5625,113236.4296875,110236934340
2025-10-12,115169.765625,115805.0625,109715.5390625,110811.515625,93710414091
2025-10-13,115271.078125,116020.484375,113821.1875,115161.6796875,71582026739
2025-10-14,113118.6640625,115502.8828125,110029.484375,115264.8828125,92212917403
2025-10-15,110783.1640625,113622.3828125,110235.8359375,113113.96875,72574132855
2025-10-16,108186.0390625,111990.8125,107537.03125,110782.171875,87306423067
2025-10-17,106467.7890625,109235.8046875,103598.4296875,108179.1328125,99703051669
2025-10-18,107198.265625,107490.984375,106387.453125,106483.734375,37779905278
2025-10-19,108666.7109375,109488.9921875,106157.7890625,107204.3125,47657008953
2025-10-20,110588.9296875,111711.03125,107485.015625,108667.4453125,63507793085
2025-10-21,108476.890625,113996.34375,107534.75,110587.6328125,101194375480
2025-10-22,107688.5859375,109115.1328125,106778.0,108491.53125,80807013218
2025-10-23,110069.7265625,111288.59375,107548.4296875,107679.4375,54944076060
2025-10-24,111033.921875,111842.53125,109770.1484375,110069.3515625,48160816980
2025-10-25,111641.7265625,111947.703125,110704.40625,111032.6171875,24707667305
2025-10-26,114472.4453125,115260.90625,111268.484375,111639.0546875,41708524143
2025-10-27,114119.328125,116273.3125,113882.2890625,114479.8515625,61761358733
2025-10-28,112956.1640625,116078.984375,112291.6796875,114129.0859375,64528066504
2025-10-29,110055.3046875,113642.7265625,109368.71875,112921.328125,62192043469
2025-10-30,108305.546875,111612.3515625,106376.6875,110059.1953125,69673964814
2025-10-31,109556.1640625,111031.8203125,108288.2734375,108304.4140625,60090359560
2025-11-01,110064.015625,110574.8984375,109372.953125,109558.625,25871668762
2025-11-02,110639.625,111167.3125,109523.453125,110064.4296875,34284209459
2025-11-03,106547.5234375,110764.9140625,105336.359375,110646.90625,72852006359
2025-11-04,101590.5234375,107264.8828125,98962.0625,106541.421875,110967184773
2025-11-05,103891.8359375,104534.703125,98989.9140625,101579.234375,77584934804
2025-11-06,101301.2890625,104147.3046875,100336.8671875,103893.6640625,63932752861
2025-11-07,103372.40625,104052.9140625,99257.0546875,101286.2421875,92168030081
2025-11-08,102282.1171875,103373.5625,101458.0390625,103371.703125,51446691095
2025-11-09,104719.640625,105418.3671875,101468.875,102278.984375,59679243013
2025-11-10,105996.59375,106564.6953125,104350.6484375,104723.7734375,69585887229
2025-11-11,102997.46875,107428.2578125,102457.328125,105996.859375,71130078574
2025-11-12,101663.1875,105297.234375,100836.6171875,103011.4375,64347179408
2025-11-13,99697.4921875,104005.4921875,97988.71875,101674.1484375,101546815416
2025-11-14,94397.7890625,99804.4296875,94000.734375,99694.703125,114346441890
2025-11-15,95549.1484375,96728.46875,94420.46875,94420.46875,38500716654
2025-11-16,94177.078125,96564.1875,92971.1640625,95556.8671875,71086235862
2025-11-17,92093.875,95928.3671875,91214.7578125,94180.875,94186165724
2025-11-18,92948.875,93745.078125,89300.4609375,92094.53125,101333569062
2025-11-19,91465.9921875,92946.1640625,88526.828125,92946.1640625,80350354656
2025-11-20,86631.8984375,93025.0703125,86040.796875,91459.3515625,97970645638
2025-11-21,85090.6875,87380.8046875,80659.8125,86528.7734375,129157506112
2025-11-22,84648.359375,85503.0078125,83490.8984375,85098.5625,40793099246
2025-11-23,86805.0078125,88038.46875,84641.7734375,84648.609375,58083435576
2025-11-24,88270.5625,89206.3359375,85272.1953125,86798.7734375,74433896110
2025-11-25,87341.890625,88457.3359375,86131.4296875,88269.9609375,64837343545
2025-11-26,90518.3671875,90581.15625,86316.8984375,87345.5859375,66496301869
2025-11-27,91285.375,91897.578125,90089.515625,90517.765625,57040622845
2025-11-28,90919.265625,92969.0859375,90257.1171875,91285.3828125,60895830289
2025-11-29,90851.7578125,91187.6171875,90260.1875,90918.7421875,37921773455
2025-11-30,90394.3125,91965.046875,90394.3125,90838.2109375,38497902869
2025-12-01,86321.5703125,90398.15625,83862.25,90389.109375,87962894424
2025-12-02,91350.203125,92316.6328125,86202.1953125,86322.5390625,78546798211
2025-12-03,93527.8046875,94060.7734375,91056.390625,91345.09375,77650204986
2025-12-04,92141.625,94038.2421875,90976.1015625,93454.2578125,64538402681
2025-12-05,89387.7578125,92702.640625,88152.140625,92133.6484375,63256398633
2025-12-06,89272.375,90267.4609375,88951.6640625,89389.359375,37994042405
2025-12-07,90405.640625,91740.84375,87799.5625,89277.8125,47394898960
2025-12-08,90640.203125,92267.1171875,89644.890625,90424.5859375,57394099056
2025-12-09,92691.7109375,94601.5703125,89586.9765625,90639.703125,66861721440
2025-12-10,92020.9453125,94477.15625,91640.1328125,92695.234375,65420694513
2025-12-11,92511.3359375,93554.265625,89335.296875,92011.3046875,64532834621
2025-12-12,90270.4140625,92747.9296875,89532.6015625,92513.6640625,80275884583
2025-12-13,90298.7109375,90647.5703125,89800.9921875,90257.796875,64237748110
2025-12-14,88175.1796875,90498.109375,87634.9375,90296.4375,50465972205
2025-12-15,86419.78125,89983.921875,85304.078125,88171.078125,45559514323
2025-12-16,87843.984375,88170.09375,85381.6875,86424.40625,41262178223
2025-12-17,86143.7578125,90264.5703125,85316.265625,87847.6171875,44243392914
2025-12-18,85462.5078125,89412.6640625,84436.3125,86144.3671875,52667115348
2025-12-19,88103.3828125,89339.1171875,85107.6640625,85476.1328125,46733310561
2025-12-20,88344.0,88497.203125,87924.875,88101.671875,14688196659
2025-12-21,88621.75,89027.953125,87613.203125,88344.703125,19845522660
2025-12-22,88490.015625,90501.9296875,87908.0703125,88621.3984375,38047472118
2025-12-23,87414.0,88898.3828125,86606.9765625,88490.03125,43683011533
2025-12-24,87611.9609375,87956.8828125,86411.796875,87404.3203125,25550297986
2025-12-25,87234.7421875,88501.7890625,86949.2578125,87608.3203125,19953216347
2025-12-26,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908
2025-12-27,87802.15625,87874.78125,87182.9765625,87301.4296875,13741199310
2025-12-28,87835.8359375,87986.890625,87394.953125,87799.34375,15156557929
2025-12-29,87138.140625,90299.15625,86717.9140625,87835.7890625,48411625849
2025-12-30,88430.1328125,89297.9375,86735.546875,87134.3515625,35586356225
2025-12-31,87508.828125,89080.2890625,87130.5625,88429.5859375,33830210616
2026-01-01,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990
2026-01-02,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171
2026-01-03,90603.1875,90679.5703125,89328.0703125,89945.0546875,20774828592
2026-01-04,91413.4921875,91712.5859375,90595.1015625,90603.0,26770491368
2026-01-05,93882.5546875,94762.0703125,91414.625,91414.625,53376407252
2026-01-06,93729.03125,94395.296875,91286.546875,93876.9453125,52430605257
2026-01-07,91308.0546875,93738.7890625,90601.8046875,93727.46875,43461295053
2026-01-08,91027.125,91485.8515625,89233.875,91309.640625,42386697030
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684
2026-01-10,90386.6484375,90713.03125,90283.3984375,90510.1015625,12385895282
2026-01-11,90827.4609375,91155.2265625,90212.0234375,90385.359375,17165568977
2026-01-12,91192.9921875,92395.5234375,90055.0234375,90825.859375,41346275358
2026-01-13,95321.78125,96011.625,90941.9296875,91185.3359375,54980674354
2026-01-14,96929.328125,97860.6015625,94583.046875,95322.90625,60592490863
2026-01-15,95551.1875,97150.171875,95103.2421875,96931.2890625,53086363027
2026-01-16,95525.1171875,95801.890625,94259.2734375,95554.1015625,33248170537
2026-01-17,95099.921875,95598.4765625,95005.6171875,95525.15625,16021715122
2026-01-18,93634.4296875,95491.5078125,93588.8671875,95101.1796875,20809781232
2026-01-19,92553.59375,93660.828125,92089.25,93655.671875,39195241508
2026-01-20,88310.90625,92798.4296875,87814.9296875,92553.6015625,53072968031
2026-01-21,89376.9609375,90430.40625,87231.5703125,88326.5078125,56330422434
2026-01-22,89462.453125,90258.9609375,88438.4453125,89378.5234375,35549685694
2026-01-23,89503.875,91100.25,88486.359375,89462.046875,38997586037
2026-01-24,89110.734375,89811.609375,89044.2890625,89506.1484375,14558687712
2026-01-25,86572.21875,89193.1484375,86003.7109375,89104.765625,36124986722
2026-01-26,88267.140625,88743.0703125,86429.2890625,86566.5234375,45329286974
2026-01-27,89102.5703125,89427.125,87228.921875,88257.4765625,38744942267
2026-01-28,89184.5703125,90439.2890625,88721.4609375,89104.046875,39807419296
2026-01-29,84561.5859375,89200.78125,83250.6015625,89169.8515625,64653083162
2026-01-30,84128.65625,84602.1640625,81071.4765625,84562.7265625,72083816087
2026-01-31,78621.1171875,84136.921875,75815.8828125,84126.5,70479259159
2026-02-01,76974.4453125,79322.609375,75698.8984375,78626.125,53372509744
2026-02-02,78688.765625,79258.609375,74551.3359375,76968.875,75140589684
2026-02-03,75633.546875,79118.8515625,72897.140625,78693.5078125,68249110822
2026-02-04,73019.703125,76864.65625,71779.9296875,75640.09375,67215363944
2026-02-05,62702.09765625,73161.5546875,62353.53515625,73016.375,125509410908
2026-02-06,70555.390625,71681.3046875,60074.203125,62704.453125,114674259489
2026-02-07,69281.96875,71611.1484375,67364.4453125,70553.796875,62347107663
2026-02-08,70264.7265625,72206.90625,68852.8984375,69283.7265625,39721722619
2026-02-09,70120.78125,71369.96875,68291.03125,70243.328125,52081598792
2026-02-10,68793.9609375,70464.265625,67913.09375,70137.390625,40593063077
2026-02-11,66991.96875,69242.6796875,65757.3046875,68791.859375,49671946030
2026-02-12,66221.84375,68339.4921875,65092.109375,66992.1953125,44651071271
2026-02-13,68857.84375,69382.8359375,65835.78125,66213.375,40820775886
2026-02-14,69767.625,70481.1640625,68706.6171875,68856.984375,36012397645
2026-02-15,68788.1875,70939.2890625,68052.546875,69764.953125,40191152750
2026-02-16,68843.15625,70067.234375,67301.5859375,68782.3984375,33618145426
2026-02-17,67494.21875,69201.8671875,66615.28125,68843.09375,34866936040
2026-02-18,66425.3203125,68434.4296875,65845.8984375,67488.0234375,33094301643
2026-02-19,66957.5234375,67277.125,65637.4296875,66425.625,31492987019
2026-02-20,68005.421875,68269.03125,66452.484375,66958.578125,47507867304
2026-02-21,68003.765625,68657.703125,67533.0703125,68000.25,18357635642
2026-02-22,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012
2026-02-23,64616.73828125,67668.4296875,63924.4375,67668.4296875,50953457309
2026-02-24,63239.92578125,64949.078125,62709.8203125,64631.9765625,43966832640
